; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1847, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 743.662
; "Time_ContextDestroy [ms]", 130.397
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,49,0,"Success",0.14583,0.184522,0.230897,0.008192,0.04608,0.037728,0.015488,0.066838,0.630881,19208,19208,19208,57
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,49,1,"Success",0.145201,0.178865,0.230897,0.009216,0.047008,0.037632,0.014592,0.066978,0.624805,19208,19208,19208,57
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,49,2,"Success",0.154281,0.177608,0.230617,0.017632,0.046816,0.036864,0.015296,0.067887,0.633185,19208,19208,19208,57
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,49,3,"Success",0.144084,0.182846,0.230059,0.008192,0.04608,0.037696,0.0144,0.066489,0.626272,19208,19208,19208,57
"CuFFT","Inplace","Complex","float",3,"oddshape",7,7,49,4,"Success",0.145132,0.174256,0.229919,0.008192,0.045056,0.037888,0.014592,0.066839,0.618938,19208,19208,19208,57
"CuFFT","Inplace","Complex","float",3,"oddshape",5,25,25,0,"Success",0.15023,0.177399,0.232084,0.01024,0.04672,0.038912,0.016224,0.067607,0.630114,25000,25000,25000,47
"CuFFT","Inplace","Complex","float",3,"oddshape",5,25,25,1,"Success",0.159519,0.175304,0.231945,0.009216,0.047104,0.038912,0.016064,0.069004,0.638704,25000,25000,25000,47
"CuFFT","Inplace","Complex","float",3,"oddshape",5,25,25,2,"Success",0.148973,0.183475,0.232923,0.00992,0.046688,0.03888,0.016512,0.068026,0.63633,25000,25000,25000,47
"CuFFT","Inplace","Complex","float",3,"oddshape",5,25,25,3,"Success",0.148694,0.175304,0.231945,0.009216,0.046048,0.038784,0.016,0.067537,0.626342,25000,25000,25000,47
"CuFFT","Inplace","Complex","float",3,"oddshape",5,25,25,4,"Success",0.157493,0.174255,0.231596,0.01024,0.04608,0.047904,0.015872,0.069144,0.635282,25000,25000,25000,47
